"feature","p"
"ABI1",0.0113642683177644
"KLF4",0.082905163588909
"XPA",0.0269262236877047
"MYC.x",0.0862097478144088
"PIM1",0.359785022035461
"IRF4",0.593466491460424
"HMGA1",0.186005554611269
"NUMA1",0.737702013146976
"FBXO11",0.0748910830620406
"CYP2C8",0.903446474996157
"NCOA4",0.759935436904791
"TET1.x",0.400055413905604
"ATIC",0.811617756870914
"BARD1",0.182374542774914
"IDH1.x",0.00264327464773279
"ITGAV",0.0102390504178474
"USP8",0.853094515969088
"RAP1GDS1",0.689394267406545
"LEF1",0.058403068306247
"ETV6.x",0.975135962145702
"ETNK1",8.59754353694469e-05
"COL2A1",0.748560831097297
"BRCA2",0.140553593912804
"RB1",0.693675942854291
"SETD1B",0.442194686808521
"TCF12",0.0457742059242878
"NCOA2",0.330747786175755
"PML",0.183579919811751
"POLG",0.00119575390354461
"NTRK3.x",0.309168627915763
"CRTC3",0.0140685451497215
"ZFHX3",0.184387098535891
"CDH11",0.0986045383108376
"NCOR1",0.932546671513625
"CLTC",0.815411337486416
"SS18",0.240037714373164
"SMAD4",0.0182513102220469
"ERBB2",0.76506097211898
"BRD4",0.0179972805317354
"VAV1",0.0240720959149464
"SH3GL1",0.0810252632375982
"AKT1",0.432457458500973
"PRDM16",0.113601262749547
"BCL10",0.343668710285617
"SDHC",0.139241354832866
"PRCC",0.0503315145630323
"ABL2",0.195749489128146
"SETDB1",0.599612153676521
"ARNT",0.840889899852618
"TPM3",0.00441383237176687
"EML4",0.162035523541996
"ASXL2",0.473842582609208
"AFF3",0.573746563780919
"ACKR3",0.528647573692116
"FANCD2",0.141792314699493
"LPP",0.0138783410565874
"MUC4",0.154515969338053
"FIP1L1",0.00103387433368275
"PIK3R1",0.00240893782128362
"ARHGAP26",0.0837216007675187
"NFKBIE",0.086433916207011
"EGFR",0.0698024073378535
"KDM6A",0.611561040335239
"MSN",0.0295558895434362
"ZMYM3",0.732866892711252
"NONO",0.194062882655543
"GPC3",0.903445786194244
"RPL10",0.016828444854811
"RSPO2",0.673259232457191
"NFIB",0.00352268600831082
"CDKN2A",0.437851961834296
"NOTCH1",0.829438089708876
"ZEB1",0.11451160910554
"TCF7L2",0.307597437738493
"ATM",0.0141044607488264
"HMGA2",0.613241188810948
"LATS2",0.686470535135526
"FOXO1",0.244468189524337
"EXT2",0.36834438897201
"VTI1A",0.00986619058057938
"FLI1",0.108130129888481
"CYSLTR2",0.25223144002788
"SETBP1.x",0.813988344269558
"PTPRK",0.246329174880272
"RAD17",0.00321657693187684
"RGPD3",0.677726932781484
"RANBP2",0.905382879762627
"PTPRD",0.958815101393856
"JAZF1",0.0651721982092072
"MSI2",0.600037214147634
"XPC",0.4205509864577
"FLCN",0.236268926298619
"GNAQ",0.0341347230040842
"PHF6.x",0.0719937402153221
"KAT6B.x",0.152618691730405
"BUB1B",0.580006411250952
"EIF4A2",0.192182379551286
"NRG1",0.0201175043941123
"CACNA1D.x",0.24273694096134
"KIT.x",0.314456565545826
"ERG",0.928903466271002
"CREB3L1",0.512974667967622
"BRAF.x",0.636858469791262
"TNFRSF14",0.254517039044927
"SKI",0.407799917484507
"FANCC",0.917012879053734
"ELK4",0.18448805498518
"SLC45A3",0.0983730565381515
"BTG2",0.000662623431873282
"FAM131B",0.4140587566931
"ARHGAP35",0.840412071303283
"U2AF1.x",0.468951816594964
"RALGDS",0.842323870218445
"LMNA",0.43227872613596
"FGFR4",0.0653498976208223
"RECQL4",0.469139453238144
"IKZF3",0.938865047205073
"SRSF2.x",0.379173426195491
"TAL1",0.913376525426576
"JAK1",0.633371956326199
"FUBP1",0.54862472098829
"DDR2",0.709533212322306
"RBM15",0.0658427744740467
"REL",0.855012266511301
"H3F3A",0.271585830485821
"ERCC3",0.233020139624796
"ATP1A1",0.287063410034098
"ELF3",0.629244238491906
"TGFBR2",0.388522275312504
"FBLN2.x",0.981959999515096
"PTPN13",0.924048008134273
"GMPS",0.00499248669892357
"RPN1",0.248326522796736
"BAP1",0.470828912695478
"PBRM1",0.208832206770834
"CASP3",0.00193358851962656
"EBF1",0.920650864538097
"TERT",0.564416668346468
"ACSL6",0.138914488942112
"HEY1",0.962224319376328
"RAD21.x",0.369972276836491
"COX6C",0.376863652932259
"PSIP1",0.000320282915649635
"SYK",0.845910665224149
"WNK2",0.579580218268543
"FAT3",0.715587964000829
"WRN",0.583987369711783
"TSHR",0.782369738655008
"CDX2",0.0927209454576717
"NSD1",0.234941225421405
"TSC1",0.779791545370083
"RET",0.686470383119678
"PRKCB",0.524258429362526
"B2M",0.488705697667829
"NAB2",0.272786885026792
"STAT6",0.00248563237308099
"SMAD3",0.686245875982883
"CDK12",0.0739972777540841
"TPM4",0.285544850125464
"KMT2D.x",3.21314486920398e-05
"SDHAF2",0.145474134051794
"CTNNB1",0.247702498522892
"FADD",0.0948777842961209
"PAFAH1B2",0.68198151386383
"HOOK3",0.00566491189092705
"RFWD3",0.192600962211726
"RHOH",0.0819878043095274
"FEN1",0.179287709463059
"COL3A1",0.0452690837680612
"STAT3",0.925018800803167
"AXIN2",0.160116690509951
"IL7R",0.483898741860656
"LRP1B",0.964165306047976
"TET2.x",0.452791281546729
"MAP2K1",0.992929765438245
"AR",0.510026460373424
"MN1",0.470265973372044
"ZRSR2.x",0.0201684520122476
"PCBP1",0.999512366055478
"ASPSCR1",0.0572736294736152
"CNBP",0.00690133555533848
"BRD3",0.00160192472633395
"PWWP2A",0.00618421436272633
"MGMT",0.0171965266819656
"KIF5B",0.416682588000452
